case_id,assignmentdate_238D,assignmentdate_4527235D,assignmentdate_4955616D,birthdate_574D,contractssum_5085716L,dateofbirth_337D,dateofbirth_342D,days120_123L,days180_256L,days30_165L,days360_512L,days90_310L,description_5085714M,education_1103M,education_88M,firstquarter_103L,for3years_128L,for3years_504L,for3years_584L,formonth_118L,formonth_206L,formonth_535L,forquarter_1017L,forquarter_462L,forquarter_634L,fortoday_1092L,forweek_1077L,forweek_528L,forweek_601L,foryear_618L,foryear_818L,foryear_850L,fourthquarter_440L,maritalst_385M,maritalst_893M,numberofqueries_373L,pmtaverage_3A,pmtaverage_4527227A,pmtaverage_4955615A,pmtcount_4527229L,pmtcount_4955617L,pmtcount_693L,pmtscount_423L,pmtssum_45A,requesttype_4525192L,responsedate_1012D,responsedate_4527233D,responsedate_4917613D,riskassesment_302T,riskassesment_940T,secondquarter_766L,thirdquarter_1082L
415,2018-09-21,,,1955-09-01,,1955-09-01,,0.0,0.0,0.0,0.0,0.0,a55475b1,a55475b1,a55475b1,2.0,,,,,,,,,,,,,,,,,0.0,3439d993,a55475b1,0.0,6306.0,,,,,3.0,,,,2019-01-22,,,,,0.0,0.0
416,,,,1994-03-01,,1994-03-01,,0.0,0.0,0.0,0.0,0.0,a55475b1,a55475b1,a55475b1,2.0,,,,,,,,,,,,,,,,,3.0,a7fcb6e5,a55475b1,0.0,,,,,,,7.0,5517.8003,,2019-01-22,,,,,1.0,1.0
417,,,,1971-07-01,,1971-07-01,,2.0,2.0,0.0,2.0,2.0,a55475b1,a55475b1,a55475b1,0.0,,,,,,,,,,,,,,,,,2.0,a55475b1,a55475b1,2.0,,,,,,,12.0,10230.2,,2019-01-22,,,,,0.0,0.0
418,2017-02-25,,,1954-02-01,,1954-02-01,,0.0,0.0,0.0,0.0,0.0,a55475b1,6b2ae0fa,a55475b1,0.0,,,,,,,,,,,,,,,,,0.0,3439d993,a55475b1,0.0,6827.7666,,,,,6.0,,,,2019-01-22,,,,,0.0,0.0
419,,,,1968-04-01,,1968-04-01,,5.0,8.0,2.0,8.0,4.0,a55475b1,a55475b1,a55475b1,0.0,,,,,,,,,,,,,,,,,5.0,a55475b1,a55475b1,8.0,,,,,,,2.0,7091.0,,2019-01-22,,,,,0.0,3.0
420,,,,1975-06-01,,1975-06-01,,2.0,2.0,0.0,4.0,2.0,a55475b1,6b2ae0fa,a55475b1,3.0,,,,,,,,,,,,,,,,,2.0,b6cabe76,a55475b1,4.0,,,,,,,5.0,22111.545,,2019-01-22,,,,,2.0,2.0
421,,,,1986-07-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,,,,,,,6.0,9079.0,,2019-01-22,,,,,,
422,2015-06-22,,,1957-06-01,,1957-06-01,,3.0,3.0,0.0,6.0,3.0,a55475b1,6b2ae0fa,a55475b1,0.0,,,,,,,,,,,,,,,,,4.0,3439d993,a55475b1,6.0,14051.867,,,,,6.0,,,,2019-01-22,,,,,4.0,0.0
423,,,,1977-12-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,,,,,,,3.0,3277.0,,2019-01-08,,,,,,
424,,,,1983-05-01,,1983-05-01,,4.0,5.0,0.0,9.0,4.0,a55475b1,a55475b1,a55475b1,4.0,,,,,,,,,,,,,,,,,7.0,a55475b1,a55475b1,9.0,,,,,,,8.0,9766.254,,2019-01-22,,,,,2.0,2.0
425,,,,1990-12-01,,1990-12-01,,1.0,1.0,0.0,2.0,1.0,a55475b1,6b2ae0fa,a55475b1,1.0,,,,,,,,,,,,,,,,,6.0,a7fcb6e5,a55475b1,2.0,,,,,,,7.0,5230.6,,2019-01-22,,,,,0.0,1.0
426,,,,1965-12-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,,,,,,,7.0,3826.0,,2019-01-22,,,,,,
427,,,,1992-07-01,,1992-07-01,,5.0,5.0,0.0,10.0,5.0,a55475b1,a55475b1,a55475b1,0.0,,,,,,,,,,,,,,,,,5.0,a55475b1,a55475b1,10.0,,,,,,,4.0,4313.6,,2019-01-22,,,,,5.0,2.0
428,2017-10-09,,,1954-10-01,,1954-10-01,,3.0,3.0,3.0,3.0,3.0,a55475b1,6b2ae0fa,a55475b1,2.0,,,,,,,,,,,,,,,,,1.0,a7fcb6e5,a55475b1,3.0,8727.101,,,,,6.0,,,,2019-01-22,,,,,0.0,2.0
429,,,,1961-07-01,,1961-07-01,,2.0,2.0,0.0,2.0,0.0,a55475b1,6b2ae0fa,a55475b1,0.0,,,,,,,,,,,,,,,,,1.0,3439d993,a55475b1,2.0,,,,,,,12.0,7104.4,,2019-01-22,,,,,0.0,2.0
430,2013-10-07,,,1955-10-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,6715.0664,,,,,6.0,,,,2019-01-22,,,,,,
431,2014-12-04,,,1951-12-01,,1951-12-01,,1.0,1.0,0.0,1.0,0.0,a55475b1,a55475b1,a55475b1,0.0,,,,,,,,,,,,,,,,,1.0,a55475b1,a55475b1,1.0,5624.667,,,,,5.0,,,,2019-01-22,,,,,0.0,0.0
432,,,,1976-05-01,,1976-05-01,,2.0,3.0,1.0,5.0,2.0,a55475b1,6b2ae0fa,a55475b1,1.0,,,,,,,,,,,,,,,,,2.0,3439d993,a55475b1,5.0,,,,,,,6.0,7466.0,,2019-01-22,,,,,2.0,2.0
433,2012-10-15,,,1949-09-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,6737.9336,,,,,6.0,,,,2019-01-18,,,,,,
434,,,,1965-01-01,,1965-01-01,,0.0,0.0,0.0,0.0,0.0,a55475b1,a55475b1,a55475b1,0.0,,,,,,,,,,,,,,,,,0.0,a55475b1,a55475b1,0.0,,,,,,,3.0,1602.4,,2019-01-22,,,,,0.0,0.0
435,,,,1977-07-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,,,,,,,5.0,2828.0,,2019-01-22,,,,,,
436,2010-07-03,,,1952-07-01,,1952-07-01,,0.0,0.0,0.0,0.0,0.0,a55475b1,a55475b1,a55475b1,0.0,,,,,,,,,,,,,,,,,0.0,a55475b1,a55475b1,0.0,6829.5664,,,,,6.0,,,,2019-01-22,,,,,1.0,1.0
437,,,,1958-03-01,,1958-03-01,,1.0,1.0,1.0,1.0,1.0,a55475b1,6b2ae0fa,a55475b1,1.0,,,,,,,,,,,,,,,,,0.0,3439d993,a55475b1,1.0,,,,,,,6.0,18728.002,,2019-01-22,,,,,0.0,0.0
438,2012-04-16,,,1954-04-01,,1954-04-01,,0.0,0.0,0.0,0.0,0.0,a55475b1,a55475b1,a55475b1,0.0,,,,,,,,,,,,,,,,,0.0,a55475b1,a55475b1,0.0,6828.3667,,,,,6.0,,,,2019-01-22,,,,,0.0,1.0
439,,,,1968-10-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,,,,,,,4.0,1924.4,,2019-01-22,,,,,,
440,,,,1966-06-01,,1966-06-01,,2.0,4.0,2.0,5.0,2.0,a55475b1,6b2ae0fa,a55475b1,6.0,,,,,,,,,,,,,,,,,2.0,3439d993,a55475b1,5.0,,,,,,,5.0,9907.4,,2019-01-18,,,,,2.0,4.0
441,,,,1987-02-01,,1987-02-01,,3.0,3.0,1.0,3.0,3.0,a55475b1,a55475b1,a55475b1,0.0,,,,,,,,,,,,,,,,,3.0,a55475b1,a55475b1,3.0,,,,,,,5.0,16661.943,,2019-01-22,,,,,0.0,0.0
442,2017-06-15,,,1954-06-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,3983.1667,,,,,6.0,,,,2019-01-22,,,,,,
443,2006-11-11,,,1948-11-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,18484.568,,,,,6.0,,,,2019-01-18,,,,,,
444,2016-08-12,,,1953-08-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,6600.5337,,,,,6.0,,,,2019-01-22,,,,,,
445,2012-04-12,,,1971-11-01,,1971-11-01,,3.0,3.0,1.0,4.0,3.0,a55475b1,a55475b1,a55475b1,3.0,,,,,,,,,,,,,,,,,2.0,a55475b1,a55475b1,4.0,14654.4,,,,,6.0,,,,2019-01-22,,,,,1.0,0.0
446,,,,1973-12-01,,1973-12-01,,0.0,0.0,0.0,0.0,0.0,a55475b1,a55475b1,a55475b1,0.0,,,,,,,,,,,,,,,,,0.0,a55475b1,a55475b1,0.0,,,,,,,6.0,2361.0,,2019-01-22,,,,,0.0,0.0
447,1992-07-30,,,1946-10-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,12730.233,,,,,6.0,,,,2019-01-22,,,,,,
448,,,,1981-01-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,,,,,,,12.0,2805.544,,2019-01-23,,,,,,
449,,,,1986-03-01,,1986-03-01,,5.0,6.0,1.0,12.0,3.0,a55475b1,6b2ae0fa,a55475b1,5.0,,,,,,,,,,,,,,,,,5.0,3439d993,a55475b1,12.0,,,,,,,6.0,48976.125,,2019-01-22,,,,,7.0,9.0
450,,,,1979-05-01,,1979-05-01,,10.0,12.0,1.0,12.0,8.0,a55475b1,a55475b1,a55475b1,0.0,,,,,,,,,,,,,,,,,9.0,a55475b1,a55475b1,12.0,,,,,,,5.0,3302.9622,,2019-01-22,,,,,0.0,3.0
451,2016-08-10,,,1958-08-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,13795.3,,,,,6.0,,,,2019-01-22,,,,,,
452,,,,1995-06-01,,1995-06-01,,0.0,0.0,0.0,0.0,0.0,a55475b1,a55475b1,a55475b1,0.0,,,,,,,,,,,,,,,,,0.0,a55475b1,a55475b1,0.0,,,,,,,6.0,9413.471,,2019-01-22,,,,,0.0,0.0
453,,,,1990-08-01,,1990-08-01,,0.0,2.0,0.0,5.0,0.0,a55475b1,6b2ae0fa,a55475b1,3.0,,,,,,,,,,,,,,,,,2.0,3439d993,a55475b1,5.0,,,,,,,4.0,3133.808,,2019-01-22,,,,,4.0,4.0
454,2013-05-30,,,1955-05-01,,1955-05-01,,1.0,1.0,0.0,1.0,1.0,a55475b1,6b2ae0fa,a55475b1,0.0,,,,,,,,,,,,,,,,,1.0,3439d993,a55475b1,1.0,6828.3667,,,,,6.0,,,,2019-01-22,,,,,0.0,2.0
455,,,,1991-09-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,,,,,,,6.0,5469.2,,2019-01-22,,,,,,
456,,,,1988-10-01,,1988-10-01,,0.0,0.0,0.0,2.0,0.0,a55475b1,a55475b1,a55475b1,2.0,,,,,,,,,,,,,,,,,0.0,a55475b1,a55475b1,2.0,,,,,,,4.0,2280.0,,2019-01-22,,,,,0.0,0.0
457,,,,1996-03-01,,1996-03-01,,2.0,3.0,0.0,3.0,2.0,a55475b1,a55475b1,a55475b1,0.0,,,,,,,,,,,,,,,,,2.0,a55475b1,a55475b1,3.0,,,,,,,16.0,11710.5,,2019-01-22,,,,,3.0,1.0
458,,,,1970-07-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,,,,,,,4.0,5714.2,,2019-01-22,,,,,,
459,,,,1994-10-01,,1994-10-01,,7.0,7.0,3.0,17.0,5.0,a55475b1,a55475b1,a55475b1,8.0,,,,,,,,,,,,,,,,,3.0,a55475b1,a55475b1,17.0,,,,,,,6.0,11550.2,,2019-01-22,,,,,3.0,3.0
460,,,,1992-05-01,,1992-05-01,,5.0,5.0,0.0,15.0,2.0,a55475b1,a55475b1,a55475b1,4.0,,,,,,,,,,,,,,,,,3.0,a55475b1,a55475b1,15.0,,,,,,,4.0,2262.4001,,2019-01-22,,,,,6.0,5.0
461,,,,1993-06-01,,1993-06-01,,2.0,2.0,2.0,3.0,2.0,a55475b1,a55475b1,a55475b1,2.0,,,,,,,,,,,,,,,,,0.0,3439d993,a55475b1,3.0,,,,,,,4.0,1407.4,,2019-01-22,,,,,1.0,0.0
462,2014-05-20,,,1951-05-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,6828.3667,,,,,16.0,,,,2019-01-22,,,,,,
463,1995-10-04,,,1950-07-01,,1950-07-01,,1.0,1.0,0.0,1.0,0.0,a55475b1,a55475b1,a55475b1,0.0,,,,,,,,,,,,,,,,,0.0,a55475b1,a55475b1,1.0,5882.3335,,,,,5.0,,,,2019-01-22,,,,,0.0,2.0
464,,,,1971-07-01,,1971-07-01,,2.0,2.0,1.0,2.0,1.0,a55475b1,717ddd49,a55475b1,4.0,,,,,,,,,,,,,,,,,2.0,3439d993,a55475b1,2.0,,,,,,,7.0,12305.343,,2019-01-22,,,,,0.0,4.0
465,2018-12-08,,,1960-06-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,2066.5,,,,,2.0,,,,2019-01-22,,,,,,
466,,,,1963-10-01,,1963-10-01,,2.0,3.0,0.0,5.0,2.0,a55475b1,a55475b1,a55475b1,0.0,,,,,,,,,,,,,,,,,2.0,3439d993,a55475b1,5.0,,,,,,,6.0,4365.6,,2019-01-22,,,,,4.0,1.0
467,2016-07-29,,,1953-07-01,,,1953-07-01,,,,,,a55475b1,a55475b1,a55475b1,,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,a55475b1,a55475b1,,5324.5,,,,,5.0,,,,2019-01-22,,,,,,
468,2017-06-20,,,1964-06-01,,1964-06-01,,5.0,5.0,2.0,9.0,5.0,a55475b1,a55475b1,a55475b1,1.0,,,,,,,,,,,,,,,,,5.0,3439d993,a55475b1,9.0,4096.667,,,,,6.0,,,,2019-01-22,,,,,3.0,0.0
469,2018-07-28,,,1955-07-01,,1955-07-01,,1.0,1.0,1.0,4.0,1.0,a55475b1,6b2ae0fa,a55475b1,3.0,,,,,,,,,,,,,,,,,0.0,3439d993,a55475b1,4.0,12848.601,,,,,6.0,,,,2019-01-22,,,,,2.0,1.0
470,,,,1987-03-01,,1987-03-01,,1.0,1.0,0.0,4.0,1.0,a55475b1,6b2ae0fa,a55475b1,1.0,,,,,,,,,,,,,,,,,1.0,3439d993,a55475b1,4.0,,,,,,,11.0,17822.201,,2019-01-22,,,,,0.0,3.0
471,2018-03-21,,,1955-03-01,,1955-03-01,,0.0,0.0,0.0,0.0,0.0,a55475b1,a55475b1,a55475b1,0.0,,,,,,,,,,,,,,,,,1.0,a55475b1,a55475b1,0.0,12311.4,,,,,6.0,,,,2019-01-22,,,,,0.0,1.0
472,2008-11-28,,,1950-11-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,8342.034,,,,,6.0,,,,2019-01-22,,,,,,
473,2012-09-06,,,1949-09-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,13849.933,,,,,6.0,,,,2019-01-22,,,,,,
474,2018-09-10,,,1960-03-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,2670.6,,,,,4.0,,,,2019-01-22,,,,,,
475,,,,1976-01-01,,1976-01-01,,1.0,1.0,0.0,1.0,0.0,a55475b1,a55475b1,a55475b1,2.0,,,,,,,,,,,,,,,,,1.0,a55475b1,a55475b1,1.0,,,,,,,6.0,12734.4,,2019-01-22,,,,,0.0,0.0
476,2018-10-15,,,1955-10-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,2129.5667,,,,,3.0,,,,2019-01-22,,,,,,
477,2010-01-06,,,1952-01-01,,1952-01-01,,0.0,0.0,0.0,0.0,0.0,a55475b1,a55475b1,a55475b1,0.0,,,,,,,,,,,,,,,,,0.0,a55475b1,a55475b1,0.0,6829.5664,,,,,6.0,,,,2019-01-22,,,,,0.0,1.0
478,1996-07-12,,,1949-01-01,,1949-01-01,,0.0,0.0,0.0,0.0,0.0,a55475b1,a55475b1,a55475b1,0.0,,,,,,,,,,,,,,,,,1.0,a55475b1,a55475b1,0.0,12730.233,,,,,6.0,,,,2019-01-22,,,,,0.0,0.0
479,2008-09-30,,,1954-08-01,,1954-08-01,,4.0,4.0,0.0,4.0,4.0,a55475b1,a55475b1,a55475b1,0.0,,,,,,,,,,,,,,,,,4.0,a55475b1,a55475b1,4.0,7102.3335,,,,,6.0,,,,2019-01-22,,,,,0.0,0.0
480,,,,1993-03-01,,1993-03-01,,0.0,3.0,0.0,9.0,0.0,a55475b1,a55475b1,a55475b1,8.0,,,,,,,,,,,,,,,,,5.0,a55475b1,a55475b1,9.0,,,,,,,6.0,3393.6,,2019-01-22,,,,,3.0,8.0
481,2017-08-07,,,1950-05-01,,1950-05-01,,1.0,1.0,0.0,5.0,0.0,a55475b1,717ddd49,a55475b1,0.0,,,,,,,,,,,,,,,,,1.0,b6cabe76,a55475b1,5.0,8727.101,,,,,6.0,,,,2019-01-22,,,,,4.0,1.0
482,,,,1991-11-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,,,,,,,6.0,4440.0,,2019-01-22,,,,,,
483,1997-07-03,,,1944-08-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,12730.233,,,,,6.0,,,,2019-01-22,,,,,,
484,,,,1994-12-01,,1994-12-01,,1.0,1.0,1.0,1.0,1.0,a55475b1,a55475b1,a55475b1,1.0,,,,,,,,,,,,,,,,,0.0,a55475b1,a55475b1,1.0,,,,,,,3.0,775.0,,2019-01-21,,,59% - 66%,-2.2360735,0.0,0.0
485,,,,1993-02-01,,1993-02-01,,2.0,2.0,0.0,6.0,0.0,a55475b1,a55475b1,a55475b1,4.0,,,,,,,,,,,,,,,,,0.0,a55475b1,a55475b1,6.0,,,,,,,6.0,14816.8,,2019-01-22,,,,,0.0,2.0
486,,,,1961-11-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,,,,,,,7.0,19143.4,,2019-01-22,,,,,,
487,,,,1993-05-01,,1993-05-01,,0.0,1.0,0.0,2.0,0.0,a55475b1,a55475b1,a55475b1,1.0,,,,,,,,,,,,,,,,,0.0,a55475b1,a55475b1,2.0,,,,,,,5.0,3332.2,,2019-01-22,,,,,0.0,3.0
488,,,,1968-03-01,,1968-03-01,,0.0,0.0,0.0,0.0,0.0,a55475b1,a55475b1,a55475b1,0.0,,,,,,,,,,,,,,,,,0.0,a55475b1,a55475b1,0.0,,,,,,,11.0,12944.4,,2019-01-22,,,,,0.0,0.0
489,,,,1995-11-01,,1995-11-01,,10.0,13.0,2.0,18.0,8.0,a55475b1,6b2ae0fa,a55475b1,1.0,,,,,,,,,,,,,,,,,11.0,a7fcb6e5,a55475b1,18.0,,,,,,,4.0,7092.2065,,2019-01-22,,,,,6.0,7.0
490,2016-10-06,,,1958-10-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,5234.8003,,,,,6.0,,,,2019-01-22,,,,,,
491,2015-01-24,,,1952-01-01,,1952-01-01,,0.0,0.0,0.0,0.0,0.0,a55475b1,a55475b1,a55475b1,0.0,,,,,,,,,,,,,,,,,0.0,a55475b1,a55475b1,0.0,6828.1665,,,,,6.0,,,,2019-01-22,,,,,0.0,0.0
492,2012-02-28,,,1959-01-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,6828.3667,,,,,6.0,,,,2019-01-22,,,,,,
493,,,,1974-04-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,,,,,,,10.0,15888.2,,2019-01-22,,,,,,
494,2017-01-18,,,1964-01-01,,1964-01-01,,8.0,10.0,1.0,17.0,6.0,a55475b1,a55475b1,a55475b1,6.0,,,,,,,,,,,,,,,,,6.0,a55475b1,a55475b1,17.0,5399.4,,,,,12.0,,,,2019-01-08,,,,,3.0,5.0
495,2016-11-03,,,1958-11-01,,1958-11-01,,0.0,0.0,0.0,1.0,0.0,a55475b1,a55475b1,a55475b1,0.0,,,,,,,,,,,,,,,,,0.0,a55475b1,a55475b1,1.0,5624.3335,,,,,5.0,,,,2019-01-22,,,,,1.0,0.0
496,2016-09-22,,,1958-09-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,6827.9663,,,,,6.0,,,,2019-01-22,,,,,,
497,,,,1985-09-01,,1985-09-01,,1.0,2.0,0.0,8.0,0.0,a55475b1,6b2ae0fa,a55475b1,2.0,,,,,,,,,,,,,,,,,3.0,a7fcb6e5,a55475b1,8.0,,,,,,,7.0,12870.2,,2019-01-22,,,,,4.0,3.0
498,2017-07-07,,,1954-06-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,5735.3667,,,,,6.0,,,,2019-01-22,,,,,,
499,2012-02-29,,,1949-03-01,,1949-03-01,,2.0,2.0,0.0,2.0,1.0,a55475b1,717ddd49,a55475b1,0.0,,,,,,,,,,,,,,,,,1.0,3439d993,a55475b1,2.0,8727.101,,,,,6.0,,,,2019-01-22,,,,,0.0,2.0
500,2018-09-19,,,1955-09-01,,1955-09-01,,0.0,0.0,0.0,0.0,0.0,a55475b1,a55475b1,a55475b1,0.0,,,,,,,,,,,,,,,,,0.0,3439d993,a55475b1,0.0,3228.3,,,,,3.0,,,,2019-01-22,,,,,0.0,0.0
501,2016-06-08,,,1958-06-01,,1958-06-01,,0.0,1.0,0.0,1.0,0.0,a55475b1,6b2ae0fa,a55475b1,0.0,,,,,,,,,,,,,,,,,0.0,3439d993,a55475b1,1.0,6827.9663,,,,,6.0,,,,2019-01-22,,,,,0.0,1.0
502,,,,1969-11-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,,,,,,,2.0,331.74,,2019-01-22,,,,,,
504,,,,1991-02-01,,1991-02-01,,2.0,4.0,0.0,11.0,0.0,a55475b1,a55475b1,a55475b1,3.0,,,,,,,,,,,,,,,,,0.0,3439d993,a55475b1,11.0,,,,,,,5.0,5961.4,,2019-01-22,,,,,9.0,8.0
505,,,,1984-12-01,,1984-12-01,,11.0,14.0,0.0,20.0,8.0,a55475b1,a55475b1,a55475b1,2.0,,,,,,,,,,,,,,,,,8.0,a55475b1,a55475b1,20.0,,,,,,,6.0,11261.872,,2019-01-22,,,,,4.0,6.0
506,2018-03-23,,,1955-03-01,,1955-03-01,,1.0,1.0,0.0,2.0,0.0,a55475b1,a55475b1,a55475b1,2.0,,,,,,,,,,,,,,,,,1.0,3439d993,a55475b1,2.0,6852.234,,,,,6.0,,,,2019-01-22,,,,,0.0,2.0
507,,,,1975-04-01,,1975-04-01,,0.0,2.0,0.0,2.0,0.0,a55475b1,a55475b1,a55475b1,0.0,,,,,,,,,,,,,,,,,0.0,a55475b1,a55475b1,2.0,,,,,,,6.0,3953.6,,2019-01-22,,,,,0.0,2.0
508,,,,1966-07-01,,1966-07-01,,1.0,3.0,0.0,4.0,1.0,a55475b1,717ddd49,a55475b1,0.0,,,,,,,,,,,,,,,,,1.0,b6cabe76,a55475b1,4.0,,,,,,,7.0,4227.6,,2019-01-22,,,,,2.0,8.0
509,2018-10-09,,,1960-04-01,,,,,,,,,a55475b1,a55475b1,a55475b1,,,,,,,,,,,,,,,,,,,a55475b1,a55475b1,,2075.6,,,,,3.0,,,,2019-01-22,,,,,,
